venue,year,rank,topic,venue_year_topic_id,count,venue_year_total,share,specific_label_cn,specific_label_en,specific_parent_category,parent_category,topic_keywords,representative_titles,topic_label_cn,topic_label_en,title_terms,naming_evidence
AAAI,2020,1,0,AAAI_2020_T000,336,1601,0.2098688319800125,知识抽取：实体识别、关系抽取与事件理解,entity/relation extraction,Information Extraction,Other,"language, knowledge, sentence, text, information, word, entity, training, state-of-the-art, generation",Learning to Map Frequent Phrases to Sub-Structures of Meaning Representation for Neural Semantic Parsing || Sentence Generation for Entity Description with Content-Plan Attention || Understanding the Semantic Content of Sparse Word Embeddings Using a Commonsense Knowledge Base || Neural Semantic Parsing in Low-Resource Settings with Back-Translation and Meta-Learning || Relevance-Promoting Language Model for Short-Text Conversation,其他主题：language / knowledge / sentence,language / knowledge / sentence,semantic / parsing / content / map / frequent / phrases / sub / structures,"keywords=language, knowledge, sentence, text, information, word, entity, training, state-of-the-art, generation; title_terms=semantic / parsing / content / map / frequent / phrases / sub / structures"
AAAI,2020,2,1,AAAI_2020_T001,213,1601,0.1330418488444722,视觉感知：语义/实例/全景分割,segmentation,Computer Vision,Computer Vision,"image, object, features, images, segmentation, detection, feature, information, state-of-the-art, semantic","F³Net: Fusion, Feedback and Focus for Salient Object Detection || RDSNet: A New Deep Architecture forReciprocal Object Detection and Instance Segmentation || Chained Representation Cycling: Learning to Estimate 3D Human Pose and Shape by Cycling Between Representations || KPNet: Towards Minimal Face Detector || FusionDN: A Unified Densely Connected Network for Image Fusion",目标检测与图像分割,image / object / features,fusion / object / detection / cycling / net / feedback / focus / salient,"keywords=image, object, features, images, segmentation, detection, feature, information, state-of-the-art, semantic; title_terms=fusion / object / detection / cycling / net / feedback / focus / salient"
AAAI,2020,3,2,AAAI_2020_T002,162,1601,0.1011867582760774,推荐系统：排序、召回与点击率预测,ranking/retrieval/CTR recommendation,Recommendation,Graph Learning,"graph, clustering, user, recommendation, prediction, information, embedding, node, graphs, nodes",CGD: Multi-View Clustering via Cross-View Graph Diffusion || Scalable Probabilistic Matrix Factorization with Graph-Based Priors || Gromov-Wasserstein Factorization Models for Graph Clustering || Maximum Likelihood Embedding of Logistic Random Dot Product Graphs || Unsupervised Attributed Multiplex Network Embedding,图学习与图神经网络,graph / clustering / user,graph / view / clustering / factorization / embedding / cgd / multi / cross,"keywords=graph, clustering, user, recommendation, prediction, information, embedding, node, graphs, nodes; title_terms=graph / view / clustering / factorization / embedding / cgd / multi / cross"
AAAI,2020,4,3,AAAI_2020_T003,156,1601,0.0974391005621486,优化理论：随机/非凸优化与收敛率,stochastic/non-convex optimization,Optimization,Optimization,"problem, algorithm, optimization, label, problems, algorithms, labels, training, stochastic, distribution",Dynamic Programming for Predict+Optimise || Optimizing Discrete Spaces via Expensive Evaluations: A Learning to Search Framework || Trading Convergence Rate with Computational Budget in High Dimensional Bayesian Optimization || Learning to Optimize Computational Resources: Frugal Training with Generalization Guarantees || Stochastic Approximate Gradient Descent via the Langevin Algorithm,优化算法与训练动力学,problem / algorithm / optimization,computational / dynamic / programming / predict / optimise / optimizing / discrete / spaces,"keywords=problem, algorithm, optimization, label, problems, algorithms, labels, training, stochastic, distribution; title_terms=computational / dynamic / programming / predict / optimise / optimizing / discrete / spaces"
AAAI,2020,5,4,AAAI_2020_T004,141,1601,0.0880699562773266,可信安全：对抗攻击、后门、水印与隐私,adversarial/backdoor/watermark/privacy,Security / Privacy,Security / Privacy,"adversarial, domain, attack, training, target, attacks, image, generative, adaptation, deep",Discriminative Adversarial Domain Adaptation || Bridging Maximum Likelihood and Adversarial Learning via α-Divergence || Learning to Transfer: Unsupervised Domain Translation via Meta-Learning || Adversarial Domain Adaptation with Domain Mixup || Deep Domain-Adversarial Image Generation for Domain Generalisation,隐私安全、攻击与鲁棒性,adversarial / domain / attack,domain / adversarial / adaptation / discriminative / bridging / maximum / likelihood / divergence,"keywords=adversarial, domain, attack, training, target, attacks, image, generative, adaptation, deep; title_terms=domain / adversarial / adaptation / discriminative / bridging / maximum / likelihood / divergence"
AAAI,2020,6,5,AAAI_2020_T005,127,1601,0.0793254216114928,强化学习：策略优化、奖励学习与控制,policy optimization/reward/control,Reinforcement Learning,LLM Agents,"reinforcement, policy, agent, agents, environment, algorithm, human, multi-agent, reward, action",Generalized Hidden Parameter MDPs:Transferable Model-Based RL in a Handful of Trials || Improving Policies via Search in Cooperative Partially Observable Games || On the Role of Weight Sharing During Deep Option Learning || Few-Shot Bayesian Imitation Learning with Logical Program Policies || Induction of Subgoal Automata for Reinforcement Learning,智能体与多智能体系统,reinforcement / policy / agent,policies / generalized / hidden / parameter / mdps / transferable / handful / trials,"keywords=reinforcement, policy, agent, agents, environment, algorithm, human, multi-agent, reward, action; title_terms=policies / generalized / hidden / parameter / mdps / transferable / handful / trials"
AAAI,2020,7,6,AAAI_2020_T006,117,1601,0.0730793254216115,视频理解：动作识别、长视频与时序建模,action/long-video/temporal modeling,Video Understanding,Other,"video, visual, action, image, temporal, person, recognition, features, information, attention","One-Shot Learning for Long-Tail Visual Relation Detection || Further Understanding Videos through Adverbs: A New Video Task || Reasoning with Heterogeneous Graph Alignment for Video Question Answering || Region-Based Global Reasoning Networks || Localize, Assemble, and Predicate: Contextual Object Proposal Embedding for Visual Relation Detection",其他主题：video / visual / action,video / visual / action,visual / relation / detection / video / reasoning / one / shot / long,"keywords=video, visual, action, image, temporal, person, recognition, features, information, attention; title_terms=visual / relation / detection / video / reasoning / one / shot / long"
AAAI,2020,8,7,AAAI_2020_T007,109,1601,0.0680824484697064,组合优化：SAT求解、整数规划与搜索,SAT/combinatorial optimization,Optimization,Other,"planning, problem, search, problems, logic, algorithm, constraints, plan, constraint, time",Probabilistic Inference for Predicate Constraint Satisfaction || Justifying All Differences Using Pseudo-Boolean Reasoning || Beliefs We Can Believe in: Replacing Assumptions with Data in Real-Time Search || Computing Superior Counter-Examples for Conformant Planning || Learning MAX-SAT from Contextual Examples for Combinatorial Optimisation,其他主题：planning / problem / search,planning / problem / search,examples / probabilistic / inference / predicate / constraint / satisfaction / justifying / all,"keywords=planning, problem, search, problems, logic, algorithm, constraints, plan, constraint, time; title_terms=examples / probabilistic / inference / predicate / constraint / satisfaction / justifying / all"
AAAI,2020,9,8,AAAI_2020_T008,105,1601,0.0655840099937539,多智能体：机制设计、拍卖与资源分配,mechanism design/auctions,Agents / Game Theory,LLM Agents,"agents, games, problem, fairness, algorithm, voting, number, preferences, equilibrium, mechanisms",Multiple Birds with One Stone: Beating 1/2 for EFX and GMMS via Envy Cycle Elimination || All-Pay Bidding Games on Graphs || On the Max-Min Fair Stochastic Allocation of Indivisible Goods || Computing Equilibria in Binary Networked Public Goods Games || Strategyproof Mechanisms for Friends and Enemies Games,智能体与多智能体系统,agents / games / problem,games / goods / multiple / birds / one / stone / beating / efx,"keywords=agents, games, problem, fairness, algorithm, voting, number, preferences, equilibrium, mechanisms; title_terms=games / goods / multiple / birds / one / stone / beating / efx"
AAAI,2020,10,9,AAAI_2020_T009,104,1601,0.0649594003747657,时序建模：时间序列预测、动力系统与基础模型,time-series forecasting/dynamical systems,Time Series,Time Series,"deep, pruning, time, time series, series, training, compression, weight, classification, novel",Training Decision Trees as Replacement for Convolution Layers || DNNs as Layers of Cooperating Classifiers || Aggregated Learning: A Vector-Quantization Approach to Learning Neural Network Classifiers || Adaptive Convolutional ReLUs || Optimizing Nondecomposable Data Dependent Regularizers via Lagrangian Reparameterization Offers Significant Performance and Efficiency Gains,时间序列预测,deep / pruning / time,layers / classifiers / decision / trees / replacement / convolution / dnns / cooperating,"keywords=deep, pruning, time, time series, series, training, compression, weight, classification, novel; title_terms=layers / classifiers / decision / trees / replacement / convolution / dnns / cooperating"
