venue,year,papers,raw_outliers,final_outliers,topics_excluding_outlier,min_topic_size,model_name,algorithm,n_neighbors,min_similarity,resolution,graph_nodes,graph_edges,raw_communities,merge_methods,raw_outlier_rate,final_outlier_rate
AAAI,2020,1601,0,0,8,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,1601,22754,8,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain'}",0.0,0.0
ACL,2020,778,0,0,10,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,778,11211,10,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain', '8': 'louvain', '9': 'louvain'}",0.0,0.0
ACMMM,2020,473,0,0,7,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,473,6573,8,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'merged_small_to_2'}",0.0,0.0
CVPR,2020,1466,0,0,11,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,1466,20906,11,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain', '8': 'louvain', '9': 'louvain', '10': 'louvain'}",0.0,0.0
ECCV,2020,1358,0,0,11,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,1358,19536,11,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain', '8': 'louvain', '9': 'louvain', '10': 'louvain'}",0.0,0.0
EMNLP,2020,751,0,0,9,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,751,10897,9,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain', '8': 'louvain'}",0.0,0.0
ICLR,2020,687,0,0,8,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,687,9804,8,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain'}",0.0,0.0
ICML,2020,1084,0,0,9,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,1084,15564,9,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain', '8': 'louvain'}",0.0,0.0
IJCAI,2020,778,0,0,9,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,778,10916,9,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain', '8': 'louvain'}",0.0,0.0
KDD,2020,217,0,0,5,18,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,217,3124,5,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain'}",0.0,0.0
NeurIPS,2020,1898,0,0,11,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,1898,27655,11,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain', '8': 'louvain', '9': 'louvain', '10': 'louvain'}",0.0,0.0
SIGIR,2020,147,0,0,3,12,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,147,2111,3,"{'0': 'louvain', '1': 'louvain', '2': 'louvain'}",0.0,0.0
WWW,2020,317,0,0,5,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,317,4627,5,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain'}",0.0,0.0
AAAI,2021,1642,0,0,8,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,1642,23374,8,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain'}",0.0,0.0
ACL,2021,710,0,0,8,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,710,10260,9,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain', '8': 'merged_small_to_0'}",0.0,0.0
ACMMM,2021,542,0,0,9,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,542,7495,9,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain', '8': 'louvain'}",0.0,0.0
CVPR,2021,1660,0,0,12,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,1660,23925,12,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain', '8': 'louvain', '9': 'louvain', '10': 'louvain', '11': 'louvain'}",0.0,0.0
EMNLP,2021,847,0,0,9,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,847,12394,9,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain', '8': 'louvain'}",0.0,0.0
ICCV,2021,1612,0,0,13,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,1612,23008,13,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain', '8': 'louvain', '9': 'louvain', '10': 'louvain', '11': 'louvain', '12': 'louvain'}",0.0,0.0
ICLR,2021,860,0,0,8,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,860,12226,8,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain'}",0.0,0.0
