venue,year,rank,venue_year_topic_id,count,venue_year_total,share_pct,specific_label_cn,specific_parent_category,short_keywords,representative_titles
AAAI,2020,1,AAAI_2020_T000,337,1601,21.05,知识抽取：实体识别、关系抽取与事件理解,Information Extraction,"language, knowledge, sentence, text, training",Learning to Map Frequent Phrases to Sub-Structures of Meaning Representation for Neural Semantic Parsing || Sentence Generation for Entity Description with Content-Plan Attention || Neural Semantic Parsing in Low-Resource Settings with Back-Translation and Meta-Learning || Understanding the Semantic Content of Sparse Word Embeddings Using a Commonsense Knowledge Base || Relevance-Promoting Language Model for Short-Text Conversation
AAAI,2020,2,AAAI_2020_T001,335,1601,20.92,视频理解：动作识别、长视频与时序建模,Video Understanding,"image, features, video, object, images","Chained Representation Cycling: Learning to Estimate 3D Human Pose and Shape by Cycling Between Representations || Exploiting Spatial Invariance for Scalable Unsupervised Object Tracking || RDSNet: A New Deep Architecture forReciprocal Object Detection and Instance Segmentation || Localize, Assemble, and Predicate: Contextual Object Proposal Embedding for Visual Relation Detection || Region-Based Global Reasoning Networks"
AAAI,2020,3,AAAI_2020_T002,276,1601,17.24,优化理论：梯度方法、收敛性与训练动力学,Optimization,"problem, algorithm, training, time, deep",Aggregated Learning: A Vector-Quantization Approach to Learning Neural Network Classifiers || Optimizing Discrete Spaces via Expensive Evaluations: A Learning to Search Framework || Learning to Optimize Computational Resources: Frugal Training with Generalization Guarantees || On the Anatomy of MCMC-Based Maximum Likelihood Learning of Energy-Based Models || Optimizing Nondecomposable Data Dependent Regularizers via Lagrangian Reparameterization Offers Significant Performance and Efficiency Gains
AAAI,2020,4,AAAI_2020_T003,201,1601,12.55,推荐系统：排序、召回与点击率预测,Recommendation,"graph, clustering, prediction, user, information",Scalable Probabilistic Matrix Factorization with Graph-Based Priors || Maximum Likelihood Embedding of Logistic Random Dot Product Graphs || Unsupervised Attributed Multiplex Network Embedding || Gromov-Wasserstein Factorization Models for Graph Clustering || CGD: Multi-View Clustering via Cross-View Graph Diffusion
AAAI,2020,5,AAAI_2020_T004,132,1601,8.24,强化学习：策略优化、奖励学习与控制,Reinforcement Learning,"reinforcement, policy, agent, agents, algorithm",Generalized Hidden Parameter MDPs:Transferable Model-Based RL in a Handful of Trials || Improving Policies via Search in Cooperative Partially Observable Games || On the Role of Weight Sharing During Deep Option Learning || Induction of Subgoal Automata for Reinforcement Learning || Few-Shot Bayesian Imitation Learning with Logical Program Policies
AAAI,2020,6,AAAI_2020_T005,116,1601,7.25,可信安全：对抗攻击、后门、水印与隐私,Security / Privacy,"adversarial, domain, attack, target, training",Discriminative Adversarial Domain Adaptation || Adversarial Domain Adaptation with Domain Mixup || Deep Domain-Adversarial Image Generation for Domain Generalisation || Learning to Transfer: Unsupervised Domain Translation via Meta-Learning || Adversarial-Learned Loss for Domain Adaptation
AAAI,2020,7,AAAI_2020_T006,105,1601,6.56,多智能体：机制设计、拍卖与资源分配,Agents / Game Theory,"agents, problem, games, fairness, algorithm",Multiple Birds with One Stone: Beating 1/2 for EFX and GMMS via Envy Cycle Elimination || All-Pay Bidding Games on Graphs || On the Max-Min Fair Stochastic Allocation of Indivisible Goods || Computing Equilibria in Binary Networked Public Goods Games || Strategyproof Mechanisms for Friends and Enemies Games
AAAI,2020,8,AAAI_2020_T007,99,1601,6.18,概率机器学习：变分推断、不确定性与后验建模,Probabilistic ML,"planning, problem, search, problems, plan",Probabilistic Inference for Predicate Constraint Satisfaction || Justifying All Differences Using Pseudo-Boolean Reasoning || Computing Superior Counter-Examples for Conformant Planning || Beliefs We Can Believe in: Replacing Assumptions with Data in Real-Time Search || Least General Generalizations in Description Logic: Verification and Existence
AAAI,2021,1,AAAI_2021_T000,315,1642,19.18,视觉感知：语义/实例/全景分割,Computer Vision,"image, segmentation, features, object, video",Inference Fusion with Associative Semantics for Unseen Object Detection || Explicitly Modeled Attention Maps for Image Classification || Cascade Network with Guided Loss and Hybrid Attention for Finding Good Correspondences || Classification by Attention: Scene Graph Classification with Prior Knowledge || Visual Concept Reasoning Networks
AAAI,2021,2,AAAI_2021_T001,310,1642,18.88,生成模型：扩散模型、采样与内容生成,Generative AI,"language, knowledge, information, generation, text",Knowledge-driven Data Construction for Zero-shot Evaluation in Commonsense Question Answering || Keyword-Guided Neural Conversational Model || (Comet-) Atomic 2020: On Symbolic and Neural Commonsense Knowledge Graphs || Bridging Towers of Multi-task Learning with a Gating Mechanism for Aspect-based Sentiment Analysis and Sequential Metaphor Identification || Encoding Syntactic Knowledge in Transformer Encoder for Intent Detection and Slot Filling
AAAI,2021,3,AAAI_2021_T002,234,1642,14.25,优化理论：梯度方法、收敛性与训练动力学,Optimization,"training, deep, knowledge, optimization, problem",Adaptive Knowledge Driven Regularization for Deep Neural Networks || Gated Linear Networks || Provable Benefits of Overparameterization in Model Compression: From Double Descent to Pruning Neural Networks || Norm-Based Generalisation Bounds for Deep Multi-Class Convolutional Neural Networks || Beyond Class-Conditional Assumption: A Primary Attempt to Combat Instance-Dependent Label Noise
AAAI,2021,4,AAAI_2021_T003,203,1642,12.36,概率机器学习：变分推断、不确定性与后验建模,Probabilistic ML,"problem, problems, agents, games, algorithm",A Model of Winners Allocation || Anytime Heuristic and Monte Carlo Methods for Large-Scale Simultaneous Coalition Structure Generation and Assignment || On the Complexity of Finding Justifications for Collective Decisions || On Fair and Efficient Allocations of Indivisible Goods || Computing Quantal Stackelberg Equilibrium in Extensive-Form Games
AAAI,2021,5,AAAI_2021_T004,202,1642,12.3,在线决策：Bandit、后悔界与探索,Reinforcement Learning,"planning, policy, algorithm, reinforcement, problem",Inverse Reinforcement Learning From Like-Minded Teachers || Combinatorial Pure Exploration with Full-Bandit or Partial Linear Feedback || Advice-Guided Reinforcement Learning in a non-Markovian Environment || Model-Free Online Learning in Unknown Sequential Decision Making Problems and Games || Metrics and Continuity in Reinforcement Learning
AAAI,2021,6,AAAI_2021_T005,189,1642,11.51,推荐系统：排序、召回与点击率预测,Recommendation,"graph, clustering, recommendation, user, time",Interpretable Clustering on Dynamic Graphs with Recurrent Graph Neural Networks || Adversarial Permutation Guided Node Representations for Link Prediction || Embedding Heterogeneous Networks into Hyperbolic Space Without Meta-path || Rethinking Graph Regularization for Graph Neural Networks || One-shot Graph Neural Architecture Search with Dynamic Search Space
AAAI,2021,7,AAAI_2021_T006,131,1642,7.98,可信安全：对抗攻击、后门、水印与隐私,Security / Privacy,"adversarial, training, attacks, attack, robustness",Beating Attackers At Their Own Games: Adversarial Example Detection Using Adversarial Gradient Directions || Adversarial Training Reduces Information and Improves Transferability || Adversarial Training and Provable Robustness: A Tale of Two Objectives || Improving Adversarial Robustness via Probabilistically Compact Loss with Logit Constraints || Generalized Adversarially Learned Inference
AAAI,2021,8,AAAI_2021_T007,58,1642,3.53,因果学习：因果发现、反事实与处理效应,Causal ML,"causal, covid-19, variables, counterfactual, survival",Meta Learning for Causal Direction || A Generative Adversarial Framework for Bounding Confounded Causal Effects || A Theory of Independent Mechanisms for Extrapolation in Generative Models || Discovering Fully Oriented Causal Networks || Estimating Identifiable Causal Effects through Double Machine Learning
AAAI,2022,1,AAAI_2022_T000,217,1315,16.5,迁移泛化：域适应、OOD泛化与鲁棒表征,Robust / Transfer Learning,"domain, object, segmentation, feature, detection",DIRL: Domain-Invariant Representation Learning for Generalizable Semantic Segmentation || Self-Supervised Object Localization with Joint Graph Partition || Self-Supervised Pretraining for RGB-D Salient Object Detection || SCAN: Cross Domain Object Detection with Semantic Conditioned Adaptation || Stereo Neural Vernier Caliper
AAAI,2022,2,AAAI_2022_T001,179,1315,13.61,优化理论：随机/非凸优化与收敛率,Optimization,"algorithm, optimization, problem, causal, algorithms",Hindsight Network Credit Assignment: Efficient Credit Assignment in Networks of Discrete Stochastic Units || Coordinate Descent on the Orthogonal Group for Recurrent Neural Network Training || The Perils of Learning Before Optimizing || Sample Average Approximation for Stochastic Optimization with Dependent Data: Performance Guarantees and Tractability || DPCD: Discrete Principal Coordinate Descent for Binary Variable Problems
AAAI,2022,3,AAAI_2022_T002,167,1315,12.7,视觉感知：目标检测、识别与视觉表征,Computer Vision,"image, images, visual, features, transformer","Nested Hierarchical Transformer: Towards Accurate, Data-Efficient and Interpretable Visual Understanding || Cross-Modal Coherence for Text-to-Image Retrieval || MIA-Former: Efficient and Robust Vision Transformers via Multi-Grained Input-Adaptation || Model-Based Image Signal Processors via Learnable Dictionaries || Assessing a Single Image in Reference-Guided Image Synthesis"
AAAI,2022,4,AAAI_2022_T003,152,1315,11.56,生成模型：扩散模型、采样与内容生成,Generative AI,"language, knowledge, text, generation, human",On the Transferability of Pre-trained Language Models: A Study from Artificial Datasets || Language Modelling via Learning to Rank || Deep Clustering of Text Representations for Supervision-Free Probing of Syntax || Search and Learn: Improving Semantic Coverage for Data-to-Text Generation || From Fully Trained to Fully Random Embeddings: Improving Neural Machine Translation with Compact Word Embedding Tables
AAAI,2022,5,AAAI_2022_T004,139,1315,10.57,强化学习：策略优化、奖励学习与控制,Reinforcement Learning,"policy, reinforcement, agent, agents, reward",Unsupervised Reinforcement Learning in Multiple Environments || Globally Optimal Hierarchical Reinforcement Learning for Linearly-Solvable Markov Decision Processes || Control-Oriented Model-Based Reinforcement Learning with Implicit Differentiation || Stackelberg Actor-Critic: Game-Theoretic Reinforcement Learning Algorithms || Introducing Symmetries to Black Box Meta Reinforcement Learning
AAAI,2022,6,AAAI_2022_T005,136,1315,10.34,语言推理：问答、常识与多跳推理,NLP Reasoning,"problem, search, problems, algorithm, planning","Efficient Encoding of Cost Optimal Delete-Free Planning as SAT || Learning Logic Programs Though Divide, Constrain, and Conquer || Resolving Inconsistencies in Simple Temporal Problems: A Parameterized Approach || Learning to Search in Local Branching || ApproxASP – a Scalable Approximate Answer Set Counter"
