venue,year,rank,topic,venue_year_topic_id,count,venue_year_total,share,specific_label_cn,specific_label_en,specific_parent_category,parent_category,topic_keywords,representative_titles,topic_label_cn,topic_label_en,title_terms,naming_evidence
AAAI,2026,1,0,AAAI_2026_T000,509,4149,0.1226801638949144,大模型推理：RL驱动推理与奖励学习,RL for LLM reasoning,LLM Reasoning,LLM Reasoning,"reasoning, llms, language, framework, llm, language llms, evaluation, reward, code, existing","Aware First, Think Less: Dynamic Boundary Self-Awareness Drives Significant Gains in Reasoning Efficiency in Large Language Models || Hypothesis-Driven Reasoning for Large Language Models || Incorporating Self-Rewriting into Large Language Model Reasoning Reinforcement || Benchmarking LLMs’ Mathematical Reasoning with Unseen Random Variables Questions || SABER: Switchable and Balanced Training for Efficient LLM Reasoning",大模型推理与思维链,reasoning / llms / language,reasoning / language / self / aware / first / think / less / dynamic,"keywords=reasoning, llms, language, framework, llm, language llms, evaluation, reward, code, existing; title_terms=reasoning / language / self / aware / first / think / less / dynamic"
AAAI,2026,2,1,AAAI_2026_T001,362,4149,0.0872499397445167,高效大模型：推理加速、压缩与资源优化,inference acceleration/compression,Efficient LLMs,Other,"knowledge, visual, pruning, existing, framework, quantization, tokens, language, training, token","LLMC+: Benchmarking Vision-Language Model Compression with a plug-and-play Toolkit || Decomposing and Composing: Towards Efficient Vision-Language Continual Learning via Rank-1 Expert Pool in a Single LoRA || Instruction-Guided Cross-Modal Clustering for Training-Free Visual Token Pruning in Vision-Language Models || Filter, Correlate, Compress: Training-Free Token Reduction for MLLM Acceleration || Rethinking Visual Token Reduction in LVLMs Under Cross-Modal Misalignment",其他主题：knowledge / visual / pruning,knowledge / visual / pruning,vision / language / token / cross / modal / free / visual / reduction,"keywords=knowledge, visual, pruning, existing, framework, quantization, tokens, language, training, token; title_terms=vision / language / token / cross / modal / free / visual / reduction"
AAAI,2026,3,2,AAAI_2026_T002,332,4149,0.0800192817546396,强化学习：策略优化、奖励学习与控制,policy optimization/reward/control,Reinforcement Learning,LLM Agents,"policy, problem, optimization, reinforcement, algorithms, algorithm, problems, framework, search, agents",Principled Analysis of Deep Reinforcement Learning Evaluation and Design Paradigms || Beyond Monotonicity: Revisiting Factorization Principles in Multi-Agent Q-Learning || Planning in Branch-and-Bound: Model-Based Reinforcement Learning for Exact Combinatorial Optimization || Structural Approach to Guiding a Present-Biased Agent || Dominance Pruning and Heuristics in Optimal Adversarial Non-Deterministic Planning,智能体与多智能体系统,policy / problem / optimization,reinforcement / agent / planning / principled / analysis / evaluation / design / paradigms,"keywords=policy, problem, optimization, reinforcement, algorithms, algorithm, problems, framework, search, agents; title_terms=reinforcement / agent / planning / principled / analysis / evaluation / design / paradigms"
AAAI,2026,4,3,AAAI_2026_T003,318,4149,0.076644974692697,三维视觉：点云、深度估计与相机姿态,point cloud/depth/pose,3D Vision,3D Vision,"gaussian, point, scene, reconstruction, geometric, novel, cloud, splatting, semantic, gaussian splatting",HDGS: Hierarchical Dynamic Gaussian Splatting for Urban Driving Scenes || Pano-GS: Perception-Aware Gaussian Optimization with Gradient Consistency and Multi-Criteria Densification for High-Quality Rendering || TrackGS: Optimizing COLMAP-Free 3D Gaussian Splatting with Global Track Constraints || VGGS: VGGT-guided Gaussian Splatting for Efficient and Faithful Sparse-View Surface Reconstruction || 4D Scaffold Gaussian Splatting with Dynamic-Aware Anchor Growing for Efficient and High-Fidelity Dynamic Scene Reconstruction,三维生成与新视角合成,gaussian / point / scene,gaussian / splatting / dynamic / aware / high / reconstruction / hdgs / hierarchical,"keywords=gaussian, point, scene, reconstruction, geometric, novel, cloud, splatting, semantic, gaussian splatting; title_terms=gaussian / splatting / dynamic / aware / high / reconstruction / hdgs / hierarchical"
AAAI,2026,5,4,AAAI_2026_T004,282,4149,0.0679681851048445,视觉感知：目标检测、识别与视觉表征,detection/recognition/visual representation,Computer Vision,Other,"image, fusion, features, detection, images, feature, object, existing, domain, experiments",Training and Inference Within 1 Second – Tackle Cross-Sensor Degradation of Real-World Pansharpening with Efficient Residual Feature Tailoring || MdaIF: Robust One-Stop Multi-Degradation-Aware Image Fusion with Language-Driven Semantics || SM3Det: A Unified Model for Multi-Modal Remote Sensing Object Detection || Breaking Alignment Barriers: TPS-Driven Semantic Correlation Learning for Alignment-Free RGB-T Salient Object Detection || Gradient as Conditions: Rethinking HOG for All-in-one Image Restoration,其他主题：image / fusion / features,image / fusion / features,degradation / one / multi / image / driven / object / detection / alignment,"keywords=image, fusion, features, detection, images, feature, object, existing, domain, experiments; title_terms=degradation / one / multi / image / driven / object / detection / alignment"
AAAI,2026,6,5,AAAI_2026_T005,270,4149,0.0650759219088937,图学习：图聚类、表示学习与结构匹配,graph clustering/representation/matching,Graph Learning,Graph Learning,"graph, clustering, graphs, node, multi-view, information, gnns, existing, representations, experiments",CCAHCL: Multi-Level Hypergraph Contrastive Learning for Connected Component Awareness || Rethinking Multi-Instance Learning Through Graph-Driven Fusion: A Dual-Path Approach to Adaptive Representation || Cross-view Anchor Graph Learning and Factorization for Incomplete Multi-view Clustering || MUG: Meta-path-aware Universal Heterogeneous Graph Pre-Training || Can Pseudo-Label Be More Reliable? A Simple yet Effective Topology-Aware Graph Self-Training Method,图学习与图神经网络,graph / clustering / graphs,graph / multi / path / view / aware / ccahcl / level / hypergraph,"keywords=graph, clustering, graphs, node, multi-view, information, gnns, existing, representations, experiments; title_terms=graph / multi / path / view / aware / ccahcl / level / hypergraph"
AAAI,2026,7,6,AAAI_2026_T006,256,4149,0.061701614846951,多模态大模型：视觉语言理解与跨模态推理,multimodal/VLM understanding,Multimodal LLM,LLM Reasoning,"reasoning, visual, multimodal, video, language, understanding, mllms, navigation, hallucination, existing","Seeing from Another Perspective: Evaluating Multi-View Understanding in MLLMs || Activating Visual Context and Commonsense Reasoning Through Masked Prediction in VLMs || What, Whether and How? Unveiling Process Reward Models for Thinking with Images Reasoning || Seeing Is Believing: Grounding Long-Video Understanding in Spatio-Temporal Visual Evidence || Mitigating Low-Quality Reasoning in MLLMs: Self-Driven Refined Multimodal CoT with Selective Thinking and Step-wise Visual Enhancement",大模型推理与思维链,reasoning / visual / multimodal,visual / reasoning / seeing / understanding / mllms / thinking / another / perspective,"keywords=reasoning, visual, multimodal, video, language, understanding, mllms, navigation, hallucination, existing; title_terms=visual / reasoning / seeing / understanding / mllms / thinking / another / perspective"
AAAI,2026,8,7,AAAI_2026_T007,253,4149,0.0609785490479633,可信安全：对抗攻击、后门、水印与隐私,adversarial/backdoor/watermark/privacy,Security / Privacy,Security / Privacy,"attacks, attack, adversarial, backdoor, privacy, detection, existing, training, image, framework","MTAttack: Multi-Target Backdoor Attacks Against Large Vision-Language Models || Rethinking Membership Inference Attacks for CLIP || EigenShield: Inference-Time, Model-Agnostic Jailbreaking Defense via Causal Subspace Filtering || MrM: Black-Box Membership Inference Attacks Against Multimodal RAG Systems || Probing Semantic Insensitivity for Inference-Time Backdoor Defense in Multimodal Large Language Model",隐私安全、攻击与鲁棒性,attacks / attack / adversarial,inference / attacks / backdoor / against / language / membership / time / defense,"keywords=attacks, attack, adversarial, backdoor, privacy, detection, existing, training, image, framework; title_terms=inference / attacks / backdoor / against / language / membership / time / defense"
AAAI,2026,9,8,AAAI_2026_T008,185,4149,0.0445890576042419,生成模型：视频扩散生成与编辑,video diffusion/generation,Generative AI,Generative AI,"generation, diffusion, image, video, editing, text, framework, existing, visual, design",Towards Spatially Consistent Image Generation: On Incorporating Intrinsic Scene Properties into Diffusion Models || LAMIC: Layout-Aware Multi-Image Composition via Scalability of Multimodal Diffusion Transformer || Difficulty Controlled Diffusion Model for Synthesizing Effective Training Data || MotionFlow: Attention-Driven Motion Transfer in Video Diffusion Models || FreeInpaint: Tuning-free Prompt Alignment and Visual Rationality Enhancement in Image Inpainting,图像生成与扩散模型,generation / diffusion / image,diffusion / image / spatially / consistent / generation / incorporating / intrinsic / scene,"keywords=generation, diffusion, image, video, editing, text, framework, existing, visual, design; title_terms=diffusion / image / spatially / consistent / generation / incorporating / intrinsic / scene"
AAAI,2026,10,9,AAAI_2026_T009,179,4149,0.0431429260062665,时序建模：时间序列预测、动力系统与基础模型,time-series forecasting/dynamical systems,Time Series,Embodied / Autonomous,"series, time series, time, forecasting, temporal, driving, series forecasting, time series forecasting, trajectory, prediction",Unifying Channel Independence and Mixing: Multi-Scale Patch Recursion for Global–Local Representation Synergy in Multivariate Time Series Forecasting || Goal-Oriented Time-Series Forecasting: Foundation Framework Design || Adaptive Frequency Pathways for Spatiotemporal Forecasting || FlowPath: Learning Data-Driven Manifolds with Invertible Flows for Robust Irregularly-sampled Time Series Classification || PIMRL: Physics-Informed Multi-Scale Recurrent Learning for Burst-Sampled Spatiotemporal Dynamics,点云、自动驾驶与轨迹预测,series / time series / time,time / series / forecasting / multi / scale / spatiotemporal / sampled / unifying,"keywords=series, time series, time, forecasting, temporal, driving, series forecasting, time series forecasting, trajectory, prediction; title_terms=time / series / forecasting / multi / scale / spatiotemporal / sampled / unifying"
