venue,year,topic,venue_year_topic_id,count,venue_year_total,share,topic_keywords,parent_category,topic_label_cn,topic_label_en,specific_label_cn,specific_parent_category,specific_label_en,representative_titles,title_terms,naming_evidence
AAAI,2020,0,AAAI_2020_T000,337,1601,0.2104934415990006,"language, knowledge, sentence, text, training, information, entity, state-of-the-art, word, generation",Other,其他主题：language / knowledge / sentence,language / knowledge / sentence,知识抽取：实体识别、关系抽取与事件理解,Information Extraction,entity/relation extraction,Learning to Map Frequent Phrases to Sub-Structures of Meaning Representation for Neural Semantic Parsing || Sentence Generation for Entity Description with Content-Plan Attention || Neural Semantic Parsing in Low-Resource Settings with Back-Translation and Meta-Learning || Understanding the Semantic Content of Sparse Word Embeddings Using a Commonsense Knowledge Base || Relevance-Promoting Language Model for Short-Text Conversation,semantic / parsing / content / map / frequent / phrases / sub / structures,"keywords=language, knowledge, sentence, text, training, information, entity, state-of-the-art, word, generation; title_terms=semantic / parsing / content / map / frequent / phrases / sub / structures"
AAAI,2020,1,AAAI_2020_T001,335,1601,0.2092442223610243,"image, features, video, object, images, information, visual, feature, detection, state-of-the-art",Other,其他主题：image / features / video,image / features / video,视频理解：动作识别、长视频与时序建模,Video Understanding,action/long-video/temporal modeling,"Chained Representation Cycling: Learning to Estimate 3D Human Pose and Shape by Cycling Between Representations || Exploiting Spatial Invariance for Scalable Unsupervised Object Tracking || RDSNet: A New Deep Architecture forReciprocal Object Detection and Instance Segmentation || Localize, Assemble, and Predicate: Contextual Object Proposal Embedding for Visual Relation Detection || Region-Based Global Reasoning Networks",object / cycling / detection / chained / representation / estimate / human / pose,"keywords=image, features, video, object, images, information, visual, feature, detection, state-of-the-art; title_terms=object / cycling / detection / chained / representation / estimate / human / pose"
AAAI,2020,2,AAAI_2020_T002,276,1601,0.1723922548407245,"problem, algorithm, training, time, deep, optimization, label, classification, problems, experiments",Optimization,优化算法与训练动力学,problem / algorithm / training,优化理论：梯度方法、收敛性与训练动力学,Optimization,gradient optimization/training dynamics,Aggregated Learning: A Vector-Quantization Approach to Learning Neural Network Classifiers || Optimizing Discrete Spaces via Expensive Evaluations: A Learning to Search Framework || Learning to Optimize Computational Resources: Frugal Training with Generalization Guarantees || On the Anatomy of MCMC-Based Maximum Likelihood Learning of Energy-Based Models || Optimizing Nondecomposable Data Dependent Regularizers via Lagrangian Reparameterization Offers Significant Performance and Efficiency Gains,optimizing / aggregated / vector / quantization / approach / classifiers / discrete / spaces,"keywords=problem, algorithm, training, time, deep, optimization, label, classification, problems, experiments; title_terms=optimizing / aggregated / vector / quantization / approach / classifiers / discrete / spaces"
AAAI,2020,3,AAAI_2020_T003,201,1601,0.1255465334166146,"graph, clustering, prediction, user, information, recommendation, embedding, graphs, state-of-the-art, node",Graph Learning,图学习与图神经网络,graph / clustering / prediction,推荐系统：排序、召回与点击率预测,Recommendation,ranking/retrieval/CTR recommendation,Scalable Probabilistic Matrix Factorization with Graph-Based Priors || Maximum Likelihood Embedding of Logistic Random Dot Product Graphs || Unsupervised Attributed Multiplex Network Embedding || Gromov-Wasserstein Factorization Models for Graph Clustering || CGD: Multi-View Clustering via Cross-View Graph Diffusion,graph / factorization / embedding / clustering / view / scalable / probabilistic / matrix,"keywords=graph, clustering, prediction, user, information, recommendation, embedding, graphs, state-of-the-art, node; title_terms=graph / factorization / embedding / clustering / view / scalable / probabilistic / matrix"
AAAI,2020,4,AAAI_2020_T004,132,1601,0.0824484697064334,"reinforcement, policy, agent, agents, algorithm, environment, reward, multi-agent, human, games",LLM Agents,智能体与多智能体系统,reinforcement / policy / agent,强化学习：策略优化、奖励学习与控制,Reinforcement Learning,policy optimization/reward/control,Generalized Hidden Parameter MDPs:Transferable Model-Based RL in a Handful of Trials || Improving Policies via Search in Cooperative Partially Observable Games || On the Role of Weight Sharing During Deep Option Learning || Induction of Subgoal Automata for Reinforcement Learning || Few-Shot Bayesian Imitation Learning with Logical Program Policies,policies / generalized / hidden / parameter / mdps / transferable / handful / trials,"keywords=reinforcement, policy, agent, agents, algorithm, environment, reward, multi-agent, human, games; title_terms=policies / generalized / hidden / parameter / mdps / transferable / handful / trials"
AAAI,2020,5,AAAI_2020_T005,116,1601,0.0724547158026233,"adversarial, domain, attack, target, training, attacks, adaptation, image, domain adaptation, generative",Security / Privacy,隐私安全、攻击与鲁棒性,adversarial / domain / attack,可信安全：对抗攻击、后门、水印与隐私,Security / Privacy,adversarial/backdoor/watermark/privacy,Discriminative Adversarial Domain Adaptation || Adversarial Domain Adaptation with Domain Mixup || Deep Domain-Adversarial Image Generation for Domain Generalisation || Learning to Transfer: Unsupervised Domain Translation via Meta-Learning || Adversarial-Learned Loss for Domain Adaptation,domain / adversarial / adaptation / discriminative / mixup / image / generation / generalisation,"keywords=adversarial, domain, attack, target, training, attacks, adaptation, image, domain adaptation, generative; title_terms=domain / adversarial / adaptation / discriminative / mixup / image / generation / generalisation"
AAAI,2020,6,AAAI_2020_T006,105,1601,0.0655840099937539,"agents, problem, games, fairness, algorithm, voting, social, number, preferences, equilibrium",LLM Agents,智能体与多智能体系统,agents / problem / games,多智能体：机制设计、拍卖与资源分配,Agents / Game Theory,mechanism design/auctions,Multiple Birds with One Stone: Beating 1/2 for EFX and GMMS via Envy Cycle Elimination || All-Pay Bidding Games on Graphs || On the Max-Min Fair Stochastic Allocation of Indivisible Goods || Computing Equilibria in Binary Networked Public Goods Games || Strategyproof Mechanisms for Friends and Enemies Games,games / goods / multiple / birds / one / stone / beating / efx,"keywords=agents, problem, games, fairness, algorithm, voting, social, number, preferences, equilibrium; title_terms=games / goods / multiple / birds / one / stone / beating / efx"
AAAI,2020,7,AAAI_2020_T007,99,1601,0.0618363522798251,"planning, problem, search, problems, plan, logic, algorithm, complexity, time, solution",Other,其他主题：planning / problem / search,planning / problem / search,概率机器学习：变分推断、不确定性与后验建模,Probabilistic ML,variational inference/uncertainty/posteriors,Probabilistic Inference for Predicate Constraint Satisfaction || Justifying All Differences Using Pseudo-Boolean Reasoning || Computing Superior Counter-Examples for Conformant Planning || Beliefs We Can Believe in: Replacing Assumptions with Data in Real-Time Search || Least General Generalizations in Description Logic: Verification and Existence,probabilistic / inference / predicate / constraint / satisfaction / justifying / all / differences,"keywords=planning, problem, search, problems, plan, logic, algorithm, complexity, time, solution; title_terms=probabilistic / inference / predicate / constraint / satisfaction / justifying / all / differences"
ACL,2020,0,ACL_2020_T000,122,778,0.1568123393316195,"translation, machine translation, machine, language, languages, cross-lingual, multilingual, nmt, training, word",NLP,机器翻译与多语言 NLP,translation / machine translation / machine,多语言NLP：机器翻译、跨语言与低资源（translation/machine translat）,NLP,machine translation/cross-lingual/low-resource / translation/machine translat,A Call for More Rigor in Unsupervised Cross-lingual Learning || Improving Massively Multilingual Neural Machine Translation and Zero-Shot Translation || Emerging Cross-lingual Structure in Pretrained Language Models || On the Cross-lingual Transferability of Monolingual Representations || Bilingual Dictionary Based Neural Machine Translation without Using Parallel Sentences,cross / lingual / translation / machine / call / more / rigor / unsupervised,"keywords=translation, machine translation, machine, language, languages, cross-lingual, multilingual, nmt, training, word; title_terms=cross / lingual / translation / machine / call / more / rigor / unsupervised"
ACL,2020,1,ACL_2020_T001,118,778,0.1516709511568123,"language, attention, linguistic, syntactic, information, word, natural, training, languages, natural language",Other,其他主题：language / attention / linguistic,language / attention / linguistic,高效大模型：推理加速、压缩与资源优化,Efficient LLMs,inference acceleration/compression,A Systematic Assessment of Syntactic Generalization in Neural Language Models || Overestimation of Syntactic Representation in Neural Language Models || An Analysis of the Utility of Explicit Negative Examples to Improve the Syntactic Abilities of Neural Language Models || Recurrent Neural Network Language Models Always Learn E nglish-Like Relative Clause Attachment || The Paradigm Discovery Problem,language / syntactic / systematic / assessment / generalization / overestimation / representation / analysis,"keywords=language, attention, linguistic, syntactic, information, word, natural, training, languages, natural language; title_terms=language / syntactic / systematic / assessment / generalization / overestimation / representation / analysis"
