venue,year,venue_year_topic_id,specific_label_cn,compact_label_cn,family,count,venue_year_total,share_pct,topic_keywords,representative_titles
AAAI,2020,AAAI_2020_T000,知识抽取：实体识别、关系抽取与事件理解,知识抽取,NLP/语音,337,1601,21.04934415990006,"language, knowledge, sentence, text, training, information, entity, state-of-the-art, word, generation",Learning to Map Frequent Phrases to Sub-Structures of Meaning Representation for Neural Semantic Parsing || Sentence Generation for Entity Description with Content-Plan Attention || Neural Semantic Parsing in Low-Resource Settings with Back-Translation and Meta-Learning || Understanding the Semantic Content of Sparse Word Embeddings Using a Commonsense Knowledge Base || Relevance-Promoting Language Model for Short-Text Conversation
AAAI,2020,AAAI_2020_T001,视频理解：动作识别、长视频与时序建模,视频理解,视觉/三维/视频,335,1601,20.92442223610243,"image, features, video, object, images, information, visual, feature, detection, state-of-the-art","Chained Representation Cycling: Learning to Estimate 3D Human Pose and Shape by Cycling Between Representations || Exploiting Spatial Invariance for Scalable Unsupervised Object Tracking || RDSNet: A New Deep Architecture forReciprocal Object Detection and Instance Segmentation || Localize, Assemble, and Predicate: Contextual Object Proposal Embedding for Visual Relation Detection || Region-Based Global Reasoning Networks"
AAAI,2020,AAAI_2020_T002,优化理论：梯度方法、收敛性与训练动力学,优化理论,优化/理论,276,1601,17.239225484072453,"problem, algorithm, training, time, deep, optimization, label, classification, problems, experiments",Aggregated Learning: A Vector-Quantization Approach to Learning Neural Network Classifiers || Optimizing Discrete Spaces via Expensive Evaluations: A Learning to Search Framework || Learning to Optimize Computational Resources: Frugal Training with Generalization Guarantees || On the Anatomy of MCMC-Based Maximum Likelihood Learning of Energy-Based Models || Optimizing Nondecomposable Data Dependent Regularizers via Lagrangian Reparameterization Offers Significant Performance and Efficiency Gains
AAAI,2020,AAAI_2020_T003,推荐系统：排序、召回与点击率预测,推荐系统,推荐/检索/图,201,1601,12.55465334166146,"graph, clustering, prediction, user, information, recommendation, embedding, graphs, state-of-the-art, node",Scalable Probabilistic Matrix Factorization with Graph-Based Priors || Maximum Likelihood Embedding of Logistic Random Dot Product Graphs || Unsupervised Attributed Multiplex Network Embedding || Gromov-Wasserstein Factorization Models for Graph Clustering || CGD: Multi-View Clustering via Cross-View Graph Diffusion
AAAI,2020,AAAI_2020_T004,强化学习：策略优化、奖励学习与控制,强化学习,强化学习,132,1601,8.244846970643339,"reinforcement, policy, agent, agents, algorithm, environment, reward, multi-agent, human, games",Generalized Hidden Parameter MDPs:Transferable Model-Based RL in a Handful of Trials || Improving Policies via Search in Cooperative Partially Observable Games || On the Role of Weight Sharing During Deep Option Learning || Induction of Subgoal Automata for Reinforcement Learning || Few-Shot Bayesian Imitation Learning with Logical Program Policies
AAAI,2020,AAAI_2020_T005,可信安全：对抗攻击、后门、水印与隐私,可信安全,可信安全,116,1601,7.245471580262331,"adversarial, domain, attack, target, training, attacks, adaptation, image, domain adaptation, generative",Discriminative Adversarial Domain Adaptation || Adversarial Domain Adaptation with Domain Mixup || Deep Domain-Adversarial Image Generation for Domain Generalisation || Learning to Transfer: Unsupervised Domain Translation via Meta-Learning || Adversarial-Learned Loss for Domain Adaptation
AAAI,2020,AAAI_2020_T006,多智能体：机制设计、拍卖与资源分配,多智能体,强化学习,105,1601,6.558400999375389,"agents, problem, games, fairness, algorithm, voting, social, number, preferences, equilibrium",Multiple Birds with One Stone: Beating 1/2 for EFX and GMMS via Envy Cycle Elimination || All-Pay Bidding Games on Graphs || On the Max-Min Fair Stochastic Allocation of Indivisible Goods || Computing Equilibria in Binary Networked Public Goods Games || Strategyproof Mechanisms for Friends and Enemies Games
AAAI,2020,AAAI_2020_T007,概率机器学习：变分推断、不确定性与后验建模,概率机器学习,优化/理论,99,1601,6.18363522798251,"planning, problem, search, problems, plan, logic, algorithm, complexity, time, solution",Probabilistic Inference for Predicate Constraint Satisfaction || Justifying All Differences Using Pseudo-Boolean Reasoning || Computing Superior Counter-Examples for Conformant Planning || Beliefs We Can Believe in: Replacing Assumptions with Data in Real-Time Search || Least General Generalizations in Description Logic: Verification and Existence
AAAI,2021,AAAI_2021_T000,视觉感知：语义/实例/全景分割,视觉感知,视觉/三维/视频,315,1642,19.18392204628501,"image, segmentation, features, object, video, domain, images, information, detection, feature",Inference Fusion with Associative Semantics for Unseen Object Detection || Explicitly Modeled Attention Maps for Image Classification || Cascade Network with Guided Loss and Hybrid Attention for Finding Good Correspondences || Classification by Attention: Scene Graph Classification with Prior Knowledge || Visual Concept Reasoning Networks
AAAI,2021,AAAI_2021_T001,生成模型：扩散模型、采样与内容生成,生成模型,生成模型,310,1642,18.87941534713763,"language, knowledge, information, generation, text, different, entity, framework, semantic, state-of-the-art",Knowledge-driven Data Construction for Zero-shot Evaluation in Commonsense Question Answering || Keyword-Guided Neural Conversational Model || (Comet-) Atomic 2020: On Symbolic and Neural Commonsense Knowledge Graphs || Bridging Towers of Multi-task Learning with a Gating Mechanism for Aspect-based Sentiment Analysis and Sequential Metaphor Identification || Encoding Syntactic Knowledge in Transformer Encoder for Intent Detection and Slot Filling
