venue,year,rank,venue_year_topic_id,count,venue_year_total,share_pct,specific_label_cn,specific_parent_category,short_keywords,representative_titles
AAAI,2020,1,AAAI_2020_T000,336,1601,20.99,知识抽取：实体识别、关系抽取与事件理解,Information Extraction,"language, knowledge, sentence, text, information",Learning to Map Frequent Phrases to Sub-Structures of Meaning Representation for Neural Semantic Parsing || Sentence Generation for Entity Description with Content-Plan Attention || Understanding the Semantic Content of Sparse Word Embeddings Using a Commonsense Knowledge Base || Neural Semantic Parsing in Low-Resource Settings with Back-Translation and Meta-Learning || Relevance-Promoting Language Model for Short-Text Conversation
AAAI,2020,2,AAAI_2020_T001,213,1601,13.3,视觉感知：语义/实例/全景分割,Computer Vision,"image, object, features, images, segmentation","F³Net: Fusion, Feedback and Focus for Salient Object Detection || RDSNet: A New Deep Architecture forReciprocal Object Detection and Instance Segmentation || Chained Representation Cycling: Learning to Estimate 3D Human Pose and Shape by Cycling Between Representations || KPNet: Towards Minimal Face Detector || FusionDN: A Unified Densely Connected Network for Image Fusion"
AAAI,2020,3,AAAI_2020_T002,162,1601,10.12,推荐系统：排序、召回与点击率预测,Recommendation,"graph, clustering, user, recommendation, prediction",CGD: Multi-View Clustering via Cross-View Graph Diffusion || Scalable Probabilistic Matrix Factorization with Graph-Based Priors || Gromov-Wasserstein Factorization Models for Graph Clustering || Maximum Likelihood Embedding of Logistic Random Dot Product Graphs || Unsupervised Attributed Multiplex Network Embedding
AAAI,2020,4,AAAI_2020_T003,156,1601,9.74,优化理论：随机/非凸优化与收敛率,Optimization,"problem, algorithm, optimization, label, problems",Dynamic Programming for Predict+Optimise || Optimizing Discrete Spaces via Expensive Evaluations: A Learning to Search Framework || Trading Convergence Rate with Computational Budget in High Dimensional Bayesian Optimization || Learning to Optimize Computational Resources: Frugal Training with Generalization Guarantees || Stochastic Approximate Gradient Descent via the Langevin Algorithm
AAAI,2020,5,AAAI_2020_T004,141,1601,8.81,可信安全：对抗攻击、后门、水印与隐私,Security / Privacy,"adversarial, domain, attack, training, target",Discriminative Adversarial Domain Adaptation || Bridging Maximum Likelihood and Adversarial Learning via α-Divergence || Learning to Transfer: Unsupervised Domain Translation via Meta-Learning || Adversarial Domain Adaptation with Domain Mixup || Deep Domain-Adversarial Image Generation for Domain Generalisation
AAAI,2020,6,AAAI_2020_T005,127,1601,7.93,强化学习：策略优化、奖励学习与控制,Reinforcement Learning,"reinforcement, policy, agent, agents, environment",Generalized Hidden Parameter MDPs:Transferable Model-Based RL in a Handful of Trials || Improving Policies via Search in Cooperative Partially Observable Games || On the Role of Weight Sharing During Deep Option Learning || Few-Shot Bayesian Imitation Learning with Logical Program Policies || Induction of Subgoal Automata for Reinforcement Learning
AAAI,2020,7,AAAI_2020_T006,117,1601,7.31,视频理解：动作识别、长视频与时序建模,Video Understanding,"video, visual, action, image, temporal","One-Shot Learning for Long-Tail Visual Relation Detection || Further Understanding Videos through Adverbs: A New Video Task || Reasoning with Heterogeneous Graph Alignment for Video Question Answering || Region-Based Global Reasoning Networks || Localize, Assemble, and Predicate: Contextual Object Proposal Embedding for Visual Relation Detection"
AAAI,2020,8,AAAI_2020_T007,109,1601,6.81,组合优化：SAT求解、整数规划与搜索,Optimization,"planning, problem, search, problems, logic",Probabilistic Inference for Predicate Constraint Satisfaction || Justifying All Differences Using Pseudo-Boolean Reasoning || Beliefs We Can Believe in: Replacing Assumptions with Data in Real-Time Search || Computing Superior Counter-Examples for Conformant Planning || Learning MAX-SAT from Contextual Examples for Combinatorial Optimisation
AAAI,2020,9,AAAI_2020_T008,105,1601,6.56,多智能体：机制设计、拍卖与资源分配,Agents / Game Theory,"agents, games, problem, fairness, algorithm",Multiple Birds with One Stone: Beating 1/2 for EFX and GMMS via Envy Cycle Elimination || All-Pay Bidding Games on Graphs || On the Max-Min Fair Stochastic Allocation of Indivisible Goods || Computing Equilibria in Binary Networked Public Goods Games || Strategyproof Mechanisms for Friends and Enemies Games
AAAI,2020,10,AAAI_2020_T009,104,1601,6.5,时序建模：时间序列预测、动力系统与基础模型,Time Series,"deep, pruning, time, time series, series",Training Decision Trees as Replacement for Convolution Layers || DNNs as Layers of Cooperating Classifiers || Aggregated Learning: A Vector-Quantization Approach to Learning Neural Network Classifiers || Adaptive Convolutional ReLUs || Optimizing Nondecomposable Data Dependent Regularizers via Lagrangian Reparameterization Offers Significant Performance and Efficiency Gains
AAAI,2020,11,AAAI_2020_T010,31,1601,1.94,医疗大模型：临床推理、医学影像与健康问答,Medical LLM,"causal, clinical, disease, patients, effects",Causal Discovery from Multiple Data Sets with Non-Identical Variable Sets || A Bayesian Approach for Estimating Causal Effects from Observational Data || General Transportability – Synthesizing Observations and Experiments from Heterogeneous Domains || Integrating Overlapping Datasets Using Bivariate Causal Discovery || Deep Mixed Effect Model Using Gaussian Processes: A Personalized and Reliable Prediction for Healthcare
ACL,2020,1,ACL_2020_T000,111,778,14.27,大模型社会安全：偏见、虚假信息与检测,Trustworthy LLM,"sentiment, bias, nlp, social, analysis",Social Bias Frames: Reasoning about Social and Power Implications of Language || Not All Claims are Created Equal: Choosing the Right Statistical Approach to Assess Hypotheses || Joint Modelling of Emotion and Abusive Language Detection || Out of the Echo Chamber: D etecting Countering Debate Speeches || Demographics Should Not Be the Reason of Toxicity: Mitigating Discrimination in Text Classifications with Instance Weighting
ACL,2020,2,ACL_2020_T001,110,778,14.14,多语言NLP：机器翻译、跨语言与低资源,NLP,"translation, machine translation, machine, languages, language",A Call for More Rigor in Unsupervised Cross-lingual Learning || Improving Massively Multilingual Neural Machine Translation and Zero-Shot Translation || Emerging Cross-lingual Structure in Pretrained Language Models || Bilingual Dictionary Based Neural Machine Translation without Using Parallel Sentences || Leveraging Monolingual Data with Self-Supervision for Multilingual Neural Machine Translation
ACL,2020,3,ACL_2020_T002,100,778,12.85,高效大模型：推理加速、压缩与资源优化,Efficient LLMs,"language, attention, syntactic, linguistic, information",Overestimation of Syntactic Representation in Neural Language Models || A Systematic Assessment of Syntactic Generalization in Neural Language Models || An Analysis of the Utility of Explicit Negative Examples to Improve the Syntactic Abilities of Neural Language Models || The Paradigm Discovery Problem || Recurrent Neural Network Language Models Always Learn E nglish-Like Relative Clause Attachment
ACL,2020,4,ACL_2020_T003,94,778,12.08,生成模型：扩散模型、采样与内容生成,Generative AI,"text, generation, language, classification, word","Enabling Language Models to Fill in the Blanks || Two Birds, One Stone: A Simple, Unified Model for Text Generation from Structured and Unstructured Data || Efficient Strategies for Hierarchical Text Classification: External Knowledge and Auxiliary Tasks || Few-Shot NLG with Pre-Trained Language Model || Improving Disentangled Text Representation Learning with Information-Theoretic Guidance"
ACL,2020,5,ACL_2020_T004,89,778,11.44,知识图谱：实体关系、推理与补全,Knowledge Graph,"entity, ner, knowledge, extraction, entities",Multi-Domain Named Entity Recognition with Genre-Aware and Agnostic Inference || Sources of Transfer in Multilingual Named Entity Recognition || Named Entity Recognition as Dependency Parsing || Named Entity Recognition without Labelled Data: A Weak Supervision Approach || A Unified MRC Framework for Named Entity Recognition
